ID;latitude;longitude;lat_nav;lon_nav;label;country;state;county;city;district;street;houseNum;postal;relevance;matchlevel;status
﻿0;49.06703;17.47295;49.0668;17.47264;Sportovní 1214, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Sportovní;1214;686 01;1.0;houseNumber;OK
1;49.04343;17.48551;49.04337;17.48527;Ke Koupališti 1726, 686 04 Kunovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Kunovice;;Ke Koupališti;1726;686 04;0.9;houseNumber;OK
2;49.07865;17.43477;49.0784;17.43463;Salašská 1919, 686 03 Staré Město, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Staré Město;Staré Město;Salašská;1919;686 03;1.0;houseNumber;OK
3;48.98159;17.51642;48.98159;17.51642;Družstevní II, 687 25 Hluk, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Hluk;Hluk;Družstevní II;;687 25;0.83;street;OK
4;49.08048;17.44467;49.08048;17.44467;U Sklépka, 686 03 Staré Město, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Staré Město;Staré Město;U Sklépka;;686 03;0.81;street;OK
5;48.98732;17.52639;48.98732;17.52657;náměstí Komenského 162, 687 25 Hluk, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Hluk;Hluk;náměstí Komenského;162;687 25;1.0;houseNumber;OK
6;49.07413;17.47369;49.07436;17.47332;U Moravy 827, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;;U Moravy;827;686 01;1.0;houseNumber;OK
7;49.01171;17.44016;49.01179;17.43998;Nádražní 1010, 687 22 Ostrožská Nová Ves, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Ostrožská Nová Ves;Ostrožská Nová Ves;Nádražní;1010;687 22;1.0;houseNumber;OK
8;49.0623;17.4681;49.06217;17.46809;28. října 1521, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;28. října;1521;686 01;1.0;houseNumber;OK
9;49.07156;17.45841;49.07134;17.45822;Otakarova 1253, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Otakarova;1253;686 01;1.0;houseNumber;OK
10;49.07088;17.45964;49.07068;17.45944;Mariánské náměstí 123, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Mariánské náměstí;123;686 01;1.0;houseNumber;OK
11;49.07006;17.46279;49.06982;17.4631;Velehradská třída 1206, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Velehradská třída;1206;686 01;1.0;houseNumber;OK
12;49.0177;17.44474;49.01767;17.44486;Kunovská 664, 687 22 Ostrožská Nová Ves, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Ostrožská Nová Ves;;Kunovská;664;687 22;1.0;houseNumber;OK
13;49.03482;17.45719;49.03488;17.4573;Letecká 1383, 686 04 Kunovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Kunovice;Kunovice;Letecká;1383;686 04;0.88;houseNumber;OK
14;49.0737;17.42617;49.074;17.42604;Brněnská 1372, 686 03 Staré Město, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Staré Město;Staré Město;Brněnská;1372;686 03;1.0;houseNumber;OK
15;49.08311;17.37158;49.08303;17.37147;Tupesy 118, 687 07 Tupesy, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Tupesy;Tupesy;Tupesy;118;687 07;1.0;houseNumber;OK
16;49.07183;17.45779;49.07167;17.45785;Otakarova 103, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Otakarova;103;686 01;1.0;houseNumber;OK
17;49.06731;17.46784;49.06717;17.46773;Smetanovy sady 179, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Smetanovy sady;179;686 01;1.0;houseNumber;OK
18;49.07135;17.46455;49.07122;17.46458;Velehradská třída 537, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Velehradská třída;537;686 01;1.0;houseNumber;OK
19;49.06756;17.45941;49.06793;17.46006;Masarykovo náměstí 21, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Masarykovo náměstí;21;686 01;1.0;houseNumber;OK
20;49.06756;17.45941;49.06793;17.46006;Masarykovo náměstí 21, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Masarykovo náměstí;21;686 01;1.0;houseNumber;OK
21;49.05298;17.52929;49.05288;17.52937;Popovice 39, 686 04 Popovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Popovice;Popovice;Popovice;39;686 04;1.0;houseNumber;multivalue
22;49.0719;17.48921;49.07231;17.49023;Mařatice 1797, 686 05 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;;Mařatice;1797;686 05;1.0;houseNumber;OK
23;49.06887;17.46031;49.06881;17.46039;Masarykovo náměstí 36, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Masarykovo náměstí;36;686 01;1.0;houseNumber;OK
24;49.10273;17.39461;49.10311;17.3949;Nádvoří 1, 687 06 Velehrad, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Velehrad;Velehrad;Nádvoří;1;687 06;1.0;houseNumber;OK
25;49.0702;17.46192;49.07058;17.46205;Velehradská třída 714, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Velehradská třída;714;686 01;1.0;houseNumber;OK
26;49.10314;17.4083;49.10292;17.40838;Modrá 227, 687 06 Modrá, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Modrá;Modrá;Modrá;227;687 06;1.0;houseNumber;OK
27;49.08265;17.4905;49.08278;17.49033;Pivovarská 303, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Pivovarská;303;686 01;1.0;houseNumber;OK
28;49.12305;17.53981;49.1232;17.54011;Topolná 224, 687 11 Topolná, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Topolná;Topolná;Topolná;224;687 11;1.0;houseNumber;OK
29;49.04545;17.46348;49.04565;17.46361;V Pastouškách 205, 686 04 Kunovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Kunovice;Kunovice;V Pastouškách;205;686 04;0.9;houseNumber;OK
30;49.08496;17.33644;49.08522;17.33671;náměstí Svobody 24, 687 08 Buchlovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Buchlovice;Buchlovice;náměstí Svobody;24;687 08;1.0;houseNumber;OK
31;48.98869;17.52694;48.98822;17.52664;náměstí Komenského 158, 687 25 Hluk, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Hluk;Hluk;náměstí Komenského;158;687 25;1.0;houseNumber;OK
32;49.04259;17.46664;49.04249;17.4668;Na Rynku 886, 686 04 Kunovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Kunovice;Kunovice;Na Rynku;886;686 04;0.88;houseNumber;OK
33;49.07835;17.44454;49.0791;17.44488;náměstí Velké Moravy 2190, 686 03 Staré Město, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Staré Město;Staré Město;náměstí Velké Moravy;2190;686 03;1.0;houseNumber;OK
34;49.06756;17.45941;49.06793;17.46006;Masarykovo náměstí 21, 686 01 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Masarykovo náměstí;21;686 01;1.0;houseNumber;OK
35;48.98593;17.39025;48.98558;17.38984;Zámecká 24, 687 24 Uherský Ostroh, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherský Ostroh;Uherský Ostroh;Zámecká;24;687 24;1.0;houseNumber;OK
36;49.10462;17.39411;49.10456;17.39426;U Lípy 302, 687 06 Velehrad, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Velehrad;Velehrad;U Lípy;302;687 06;1.0;houseNumber;OK
37;49.10562;17.39341;49.10564;17.39345;Salašská 328, 687 06 Velehrad, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Velehrad;Velehrad;Salašská;328;687 06;1.0;houseNumber;OK
38;49.06881;17.4859;49.06881;17.4859;Vinohradská, 686 05 Uherské Hradiště, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Uherské Hradiště;Uherské Hradiště;Vinohradská;;686 05;0.94;street;multivalue
39;49.08373;17.33587;49.08373;17.3357;náměstí Svobody 13, 687 08 Buchlovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Buchlovice;Buchlovice;náměstí Svobody;13;687 08;1.0;houseNumber;OK
40;49.10332;17.40932;49.10317;17.40925;Modrá 233, 687 06 Modrá, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Modrá;Modrá;Modrá;233;687 06;1.0;houseNumber;OK
41;49.08373;17.33587;49.08373;17.3357;náměstí Svobody 13, 687 08 Buchlovice, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Buchlovice;Buchlovice;náměstí Svobody;13;687 08;1.0;houseNumber;OK
42;49.08433;17.43546;49.08417;17.43539;Velehradská 1748, 686 03 Staré Město, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Staré Město;Staré Město;Velehradská;1748;686 03;1.0;houseNumber;OK
43;49.10739;17.40543;49.10737;17.40522;Modrá 123, 687 06 Modrá, Česká Republika;CZE;Zlínský kraj;Uherské Hradiště;Modrá;Modrá;Modrá;123;687 06;1.0;houseNumber;OK
